"","feature","appearances","targets_covered","coverage_rate","mean_rank","median_rank","mean_theil_u","mean_mi","mean_cramer_v","mean_score","strength_score"
"40","Q206",3,3,0.0909090909090909,7.33333333333333,7,0.0910942006485772,0.120974230784987,0.247780537496378,0.11572684337428,41
"41","Q107",3,3,0.0909090909090909,8,8,0.0636233247993684,0.104972776872522,0.230872827344378,0.0927531106758155,39
"42","Q205",3,3,0.0909090909090909,8.33333333333333,10,0.079371343370583,0.107655741913159,0.22973585255522,0.10289311385182,38
"43","Q165",3,3,0.0909090909090909,8.66666666666667,11,0.111571392048027,0.105391037152221,0.407126803032036,0.168351905693083,37
"44","Q185",3,3,0.0909090909090909,9.66666666666667,9,0.125018953647749,0.16865947578977,0.292212920247024,0.154830506950283,34
"45","Q187",3,3,0.0909090909090909,9.66666666666667,9,0.119008413795686,0.160040622888074,0.292719480000887,0.148689183143923,34
"46","Q161",3,3,0.0909090909090909,10,11,0.0521030911193801,0.077941100002987,0.200112291376235,0.0746554138101476,33
"47","Q172",3,3,0.0909090909090909,10.3333333333333,11,0.125563779135949,0.122343284088759,0.310941224241212,0.143135375132318,32
"48","Q144",3,3,0.0909090909090909,10.6666666666667,10,0.0293735934541476,0.0153523874517466,0.195336984726546,0.0661133610666317,31
"49","Q138",3,3,0.0909090909090909,11.3333333333333,9,0.0686411559136672,0.0612156207380495,0.222709663972499,0.0818203461668651,29
"50","Q203",3,3,0.0909090909090909,12.3333333333333,14,0.0423412747213452,0.0599187989620352,0.177138770077191,0.0610942815291368,26
"51","Q168",3,3,0.0909090909090909,14,14,0.0834434161565574,0.0800607870020877,0.363929356192878,0.136529442927582,21
"52","Q254",3,3,0.0909090909090909,14,12,0.0518544705428449,0.0512521574470079,0.202272115464934,0.0667155411063027,21
"53","Q85",3,3,0.0909090909090909,14,20,0.11758159704349,0.151011449500109,0.293877133968178,0.145240106472945,21
"54","Q231",3,3,0.0909090909090909,14.3333333333333,12,0.0277862408822051,0.0186018398532388,0.119963439477048,0.0589455814067393,20
"55","Q217",3,3,0.0909090909090909,15,13,0.0272554628281142,0.037602809751099,0.191353158452433,0.0467694364674415,18
"56","Q282",3,3,0.0909090909090909,15,14,0.0372537531628678,0.0243923847963806,0.173711619543357,0.0470411292909705,18
"57","Q65",3,3,0.0909090909090909,15.3333333333333,14,0.0251345949417571,0.0295861081441586,0.139702322482142,0.037926821656516,17
"58","Q245",3,3,0.0909090909090909,16,16,0.0290637381156651,0.0503282942196567,0.142766323517555,0.0468133634870515,15
"59","Q69",3,3,0.0909090909090909,16,17,0.0377936774404285,0.0461128708707218,0.180132779829782,0.0545233457084519,15
"60","Q76",3,3,0.0909090909090909,16,16,0.0459624737242434,0.0540290195695882,0.194205718721581,0.0632067619775806,15
"61","Q145",3,3,0.0909090909090909,16.3333333333333,16,0.0219771886970077,0.0114077023998131,0.163094185689437,0.0529182165386239,14
"62","Q209",3,3,0.0909090909090909,16.3333333333333,16,0.0349906166047583,0.0503426240102896,0.216885415787433,0.0577856987446852,14
"63","Q276",3,3,0.0909090909090909,16.3333333333333,16,0.0193685049610589,0.0237386183026299,0.116031567866134,0.0303458452540378,14
"64","Q179",3,3,0.0909090909090909,17.6666666666667,19,0.039136333226139,0.0428224972589485,0.17001083902912,0.05332963301628,10
"65","Q148",3,3,0.0909090909090909,18.6666666666667,20,0.0484919658991069,0.0438993688979998,0.175888677323058,0.0598538579411699,7
"66","Q277",3,3,0.0909090909090909,19,19,0.0202095501081494,0.0249384203345736,0.120982318531806,0.0317054880184424,6
"67","Q116",2,2,0.0606060606060606,3,3,0.188381115815793,0.215133851856073,0.438223042522275,0.221391129298525,36
"68","Q259",2,2,0.0606060606060606,4.5,4.5,0.220622230531072,0.275723592175602,0.437928265274701,0.258883242498794,33
"69","Q117",2,2,0.0606060606060606,5,5,0.13237038660165,0.15014752036222,0.36447319729289,0.160913807798945,32
"70","Q207",2,2,0.0606060606060606,5.5,5.5,0.111529405908867,0.146634314188182,0.282949536107307,0.139202891412505,31
"71","Q256",2,2,0.0606060606060606,6,6,0.160759793557158,0.183292967793064,0.359485686165643,0.187392335088778,30
"72","Q158",2,2,0.0606060606060606,7,7,0.0812317785511464,0.117848749962686,0.250421166017304,0.109135808721224,28
"73","Q255",2,2,0.0606060606060606,7,7,0.112324117114129,0.127226331008445,0.29995828052262,0.135558197623273,28
"74","Q87",2,2,0.0606060606060606,7,7,0.190650419883836,0.240638722664234,0.390203195113686,0.22560218824094,28
"75","Q89",2,2,0.0606060606060606,8.5,8.5,0.164110466625463,0.206567026126534,0.367092269267694,0.197145614740007,25
